EpochTime,feelings_symptoms,smell_description,smell_value,zipcode
1478724641,,,1,15217
1478728820,Nose irritation,"Industrial, McConway & Torley, like burning plastic",3,15201
1478744257,,"Industrial, burning rubber smell",5,15201
1478805558,,,1,15218
1478827460,,,1,15206
1478877796,,,1,15217
1478884605,,,1,15206
1478886197,,Industrial ,4,15201
1478886204,,Industrial ,4,15201
1478886207,,Industrial ,4,15201
1478886237,,Industrial ,4,15201
1478886238,,Industrial ,4,15201
1478886275,,Industrial; from Mcconway torley ,4,15201
1478888300,,,1,15217
1478888307,,,1,15217
1478888325,,,1,15217
1478888337,,,1,15217
1478888360,,Industrial metallic,4,15201
1478888368,,Industrial metallic,4,15201
1478888376,,,5,15217
1478888384,,Industrial metallic,3,15201
1478888394,,,1,15217
1478888436,,Industrial metallic,4,15201
1478900444,"Nose irritation, hard to breathe this in",Burning metal,3,15201
1478910829,,Woodsmoke?,2,15217
1478977575,,,4,15201
1478988896,,Gasoline,2,15232
1478989454,Covered my face,"Visibe dust in air, burning ",3,15213
1478997000,"Eyes burning, throat clearing",Industrial ,4,15206
1479007987,,sewage or fertilizer,3,15217
1479011538,,Wood smoke,3,15217
1479019094,,"Sooty sulphur smell, has entered house, winds are SSW last 3 hours. Particle counts high.",4,15218
1479026186,,,3,15208
1479029791,,,4,15206
1479029833,,Industrial,4,15206
1479035778,Respiratory distress,Industrial,5,15206
1479040137,,,3,15208
1479040149,Industrial ,,3,15221
1479041382,,Industrial coal smoke smell.,4,15206
1479041754,,industrial,3,15206
1479042157,,,3,15208
1479043353,Industrial ,,3,15208
1479045318,,Industrial,4,15206
1479046387,,Mill,4,15218
1479046390,,Steel mill,4,15218
1479046400,,Mill,4,15218
1479051358,,,4,15218
1479088959,,,1,15217
1479093823,,"Sulfur, rotten eggs. VOC's are up at 766 ppb and rising! Very low mixing height of 200ft.",4,15217
1479098780,,"Chemical, foul smell",5,15217
1479099665,,,4,15208
1479102809,"It's making it hard to sleep, indoors, with the windows closed.",Acrid coal smoke; very strong.,5,15206
1479110587,,,4,15206
1479110719,The stench woke me up!,Acrid industrial stench,4,15206
1479118296,,"Coal, winds S 9mph, particle counts high",3,15218
1479119845,,Industrial pollution,4,15206
1479124504,,"Industrial, sulfur",3,15217
1479124747,,Industrial. Sulfur. ,4,15217
1479125103,,Industrial,3,15217
1479125110,,Industrial,3,15217
1479125137,,Industrial,3,15217
1479125295,,Industrial,3,15217
1479125662,,smoke,4,15218
1479125829,,,4,15217
1479125838,,,4,15217
1479125910,,Sulphur ,4,15217
1479126157,Headache.,"Horrible stench this morning. Acrid, coke plant industrial smell. 13,000 pm0.5 readings on the Dylos, and Awair VOC levels above 1000. Totally unacceptable. Totally predictable. ",5,15217
1479126161,Headache.,"Horrible stench this morning. Acrid, coke plant industrial smell. 13,000 pm0.5 readings on the Dylos, and Awair VOC levels above 1000. Totally unacceptable. Totally predictable. ",5,15217
1479126178,Headache.,"Horrible stench this morning. Acrid, coke plant industrial smell. 13,000 pm0.5 readings on the Dylos, and Awair VOC levels above 1000. Totally unacceptable. Totally predictable. ",5,15217
1479126216,Headache.,Acrid industrial coke plant smell.,5,15217
1479126256,Headache.,Acrid industrial coke plant smell.,5,15217
1479126718,,Industrial,4,15217
1479127651,Nasal discomfort ,Industrial ,3,15206
1479127656,Nasal discomfort ,Industrial ,3,15206
1479127658,Nasal discomfort ,Industrial ,3,15206
1479127667,Nasal discomfort ,Industrial ,3,15206
1479127678,,Rotten eggs,3,15206
1479128182,"The air is still intolerable, been going on like this since before 3 A.M.",Industrial pollution,4,15206
1479128192,"The air is still intolerable, been going on like this since before 3 A.M.",Industrial pollution,4,15206
1479128611,,industrial,4,15206
1479128880,"Sore throat, lung irritation ",Sulfur,4,15208
1479128940,,,4,15208
1479129300,,"Industrial, chemical",5,15217
1479129371,,,4,15217
1479130070,Scratchy throat,"Smoky, acrid",3,15222
1479130268,,,4,15206
1479130614,,Rotten egg,3,15206
1479130687,,,4,15217
1479130716,,"Industrial, smoke",4,15213
1479132585,Nasal discomfort ,Industrial ,3,15219
1479134097,,"Sulfur coal smell persists, wind SSE 10mph, particle counts inside and outside high, CO2 outside oner 600ppm",4,15218
1479135867,Headache,Industrial ,4,15206
1479136305,,"Industrial, rubber",3,15208
1479139468,Headache. My whole house reeks indoors from the smell outside. Unbearable!!,Strong industrial tar and acrid coke plant smell.,5,15217
1479146888,,Burning,4,15201
1479164180,,Natural gas,3,15213
1479177394,Throat,Industrial,4,15217
1479179071,,strange smell. not quite normal Coke smell,3,15206
1479181398,,"Industrial coke plant stench. As expected, with mixing height below 200ft and slight wind from the south. Unacceptable!! When will this stench-fest end?!???!?!?",4,15217
1479211644,Headache. Disturbed sleep. Deep frustration. Feeling violated by an assailant beyond my control with no recourse. The ACHD continually fails to address the root cause-- local industry that does not accommodate air movement patterns in their emissions volumes. Totally unacceptable!!!,High VOC levels all night long. Acrid industrial coke plant smell. Over 7000 pm0.5 on Dylos monitor.,3,15217
1479212206,,Industrial,2,15217
1479213437,,,4,15217
1479213617,,Industrial. ,3,15217
1479214034,,sulphuric smoke,4,15218
1479216212,,"Foul, industrial, chemical stink",5,15217
1479216990,,Burnt rubber,3,15222
1479217723,,,2,15206
1479218162,Been bad air all morning,Industrial,2,15206
1479218274,,Industrial,2,15217
1479218333,"Correction on last report, air has been worse that barely noticible, the page jumped as I touched it.",Industrial toxins,3,15206
1479218667,,,3,15217
1479219223,I feel trapped.,Acrid industrial. Dylos pm0.5 is now above 9000.,4,15217
1479221314,,Strong industrial acrid coal stink,5,15206
1479221688,Lung irritation,Industrial,5,15207
1479222003,,Industrial ,2,15213
1479223190,,"Strong acrid smell, kind of like burning tar. Co airport winds generally S 3-6mph. Particle counts elevated since midnight.",4,15218
1479225152,,"Industrial, acrid, like grinding metal",4,15213
1479225197,,"Sulfur like, industrial smell",4,15213
1479228123,,industrial ,4,15206
1479231426,Headache ,Industrial chemical ,4,15219
1479238110,,"Diesel fumes, exhaust",5,15222
1479245474,,,5,15222
1479262257,,Eggs/sewer,3,15208
1479265493,,Acrid industrial stink just started up. Wind speed and direction and mixing height indicate to me that the stench will persist all night. It makes me angry that have to report this stuff so often without resolution. It has been going on like this for years!!!,4,15217
1479266878,,,5,15217
1479267171,,smells like metal acrid,4,15208
1479267663,,,1,15217
1479268170,,Acrid coal smoke smell,4,15206
1479269441,,"Rotten eggs, maybe sewer gas",3,15206
1479276638,Scratches throat at first.,Burning sulphur smell,4,15218
1479280385,"Headache, difficult breathing ",Pollution ,5,15206
1479286471,Awaken at this early hour.,"Acrid sulfur, winds out of S, particle counts very high inside and out",4,15218
1479293659,woke up to the smell with all of my windows closed. 6am,Coke pollution,5,15206
1479294741,Anger. Feeling violated. Extreme frustration.,Fourth night in a row. Acrid industrial smell has been going on all night long.,4,15217
1479296361,,,5,15208
1479297681,,usual sulfur smoke ,4,15218
1479298302,,,4,15208
1479298407,,Industrial steel mill ,4,15218
1479298750,,,3,15206
1479300059,Eye and nose irritated ,"Industrial, wood",3,15206
1479300986,,Industrial AGAIN!!,5,15218
1479301407,,Industrial,4,15206
1479301796,,Sewage,3,15206
1479302117,Sore throat short breath,Industrial ,4,15213
1479302326,,Industrial ,3,15213
1479302527,,,4,15217
1479302704,,coke,5,15206
1479303625,,Rotten egg,4,15206
1479303809,,Strong smokey acrid air continues.,4,15218
