EpochTime,3.feed_23.CO_PPM,3.feed_23.PM10_UG_M3
1479061800,0.2,3.0
1479065400,0.2,4.0
1479069000,0.2,6.0
1479072600,0.3,8.0
1479076200,0.3,10.0
1479079800,0.6,17.0
1479083400,0.9,24.0
1479087000,1.0,173.0
1479090600,1.0,86.0
1479094200,0.8,71.0
1479097800,0.7,28.0
1479101400,0.8,27.0
1479105000,0.7,22.0
1479108600,0.8,28.0
1479112200,0.8,28.0
1479115800,0.8,26.0
1479119400,1.0,28.0
1479123000,1.2,34.0
1479126600,1.2,67.0
1479130200,1.3,74.0
1479133800,1.5,78.0
1479137400,1.0,40.0
1479141000,,19.0
1479144600,0.3,11.0
1479148200,0.2,15.0
1479151800,0.2,64.0
1479155400,0.2,72.0
1479159000,0.2,33.0
1479162600,0.5,37.0
1479166200,0.8,32.0
1479169800,0.8,30.0
1479173400,0.8,33.0
1479177000,0.7,35.0
1479180600,0.7,28.0
1479184200,0.7,36.0
1479187800,0.7,25.0
1479191400,0.8,25.0
1479195000,0.7,25.0
1479198600,0.8,24.0
1479202200,0.8,27.0
1479205800,0.8,27.0
1479209400,1.0,32.0
1479213000,1.2,44.0
1479216600,1.2,44.0
1479220200,1.3,54.0
1479223800,1.2,71.0
1479227400,1.1,68.0
1479231000,0.6,41.0
1479234600,0.3,18.0
1479238200,0.2,13.0
1479241800,0.1,14.0
1479245400,0.2,20.0
1479249000,0.4,25.0
1479252600,0.9,42.0
1479256200,0.9,40.0
1479259800,0.9,41.0
1479263400,1.0,41.0
1479267000,0.9,34.0
1479270600,0.8,33.0
1479274200,0.8,34.0
1479277800,0.9,35.0
1479281400,0.9,36.0
1479285000,0.9,36.0
1479288600,0.9,37.0
1479292200,0.9,38.0
1479295800,1.1,44.0
1479299400,1.3,65.0
1479303000,0.8,44.0
1479306600,0.3,35.0
1479310200,0.3,33.0
1479313800,0.2,25.0
1479317400,0.2,27.0
1479321000,0.2,25.0
1479324600,0.2,20.0
1479328200,0.2,24.0
1479331800,0.2,24.0
1479335400,0.3,27.0
1479339000,0.2,20.0
1479342600,0.2,22.0
1479346200,0.2,21.0
1479349800,0.2,19.0
1479353400,0.3,22.0
1479357000,0.5,25.0
1479360600,0.5,26.0
1479364200,0.5,23.0
1479367800,0.5,23.0
1479371400,0.5,22.0
1479375000,0.5,19.0
1479378600,0.5,20.0
1479382200,0.7,19.0
1479385800,0.8,31.0
1479389400,0.8,38.0
1479393000,1.1,45.0
1479396600,0.8,53.0
1479400200,1.2,46.0
1479403800,0.5,43.0
1479407400,0.2,27.0
1479411000,0.2,32.0
1479414600,0.2,26.0
1479418200,0.3,24.0
1479421800,0.4,32.0
1479425400,0.4,28.0
1479429000,0.5,27.0
1479432600,0.8,33.0
1479436200,0.8,31.0
1479439800,0.9,31.0
1479443400,0.9,33.0
1479447000,0.8,29.0
1479450600,0.9,26.0
1479454200,0.9,25.0
1479457800,0.7,25.0
1479461400,0.8,31.0
1479465000,0.9,30.0
1479468600,1.0,32.0
1479472200,1.0,53.0
1479475800,1.3,45.0
