EpochTime,3.feed_1.PM25B_UG_M3..3.feed_1.PM25T_UG_M3
1481866200,12
1481869800,9
1481873400,9
1481877000,9
1481880600,9
1481884200,9
1481887800,10
1481891400,14
1481895000,12
1481898600,14
1481902200,13
1481905800,11
1481909400,18
1481913000,11
1481916600,10
1481920200,12
1481923800,9
1481927400,11
1481931000,9
1481934600,7
1481938200,9
1481941800,8
1481945400,9
1481949000,6
1481952600,3
1481956200,3
1481959800,9
1481963400,6
1481967000,2
1481970600,1
1481974200,4
1481977800,3
1481981400,10
1481985000,8
1481988600,8
1481992200,14
1481995800,16
1481999400,18
1482003000,20
1482006600,21
1482010200,20
1482013800,20
1482017400,18
1482021000,11
1482024600,11
1482028200,7
1482031800,5
1482035400,4
1482039000,1
1482042600,-1
1482046200,-2
1482049800,0
1482053400,0
1482057000,-1
1482060600,0
1482064200,-1
1482071400,0
1482075000,8
1482078600,6
1482082200,3
1482085800,3
1482089400,5
1482093000,5
1482096600,5
1482100200,4
1482103800,4
1482107400,3
1482111000,1
1482114600,4
1482118200,6
1482121800,7
1482125400,4
1482129000,3
1482132600,5
1482136200,5
1482139800,6
1482143400,12
1482147000,21
1482150600,7
1482154200,13
1482157800,10
1482161400,8
1482165000,7
1482168600,8
1482172200,7
1482175800,6
1482179400,9
1482183000,6
1482186600,4
1482190200,7
1482193800,10
1482197400,12
1482201000,11
1482204600,15
1482208200,16
1482211800,11
1482215400,15
1482219000,16
1482222600,15
1482226200,20
1482229800,19
1482233400,22
1482237000,23
1482240600,31
1482244200,35
1482247800,39
1482251400,24
1482255000,15
1482258600,12
1482262200,11
1482265800,10
1482269400,6
1482273000,8
1482276600,10
1482280200,9
1482283800,10
1482287400,7
1482291000,5
1482294600,9
1482298200,9
1482301800,12
1482305400,9
1482309000,10
1482312600,14
1482316200,11
1482319800,11
1482323400,14
1482327000,14
1482330600,11
1482334200,20
1482337800,14
1482341400,13
1482345000,10
1482348600,10
1482352200,11
1482355800,7
1482359400,12
1482363000,13
1482366600,16
1482370200,16
1482373800,19
1482377400,13
1482381000,17
1482384600,17
1482388200,7
1482391800,6
1482395400,5
1482399000,6
1482402600,4
1482406200,6
1482409800,8
1482413400,14
1482417000,15
1482420600,14
1482424200,15
1482427800,21
1482431400,18
1482435000,17
1482438600,14
1482442200,11
1482445800,8
1482449400,9
1482453000,10
1482456600,11
1482460200,8
1482463800,11
1482467400,11
1482471000,8
1482474600,7
1482478200,7
1482481800,8
1482485400,11
1482489000,11
1482492600,10
1482496200,20
1482499800,19
1482503400,14
1482507000,14
1482510600,13
1482514200,21
1482517800,16
1482521400,11
1482525000,15
1482528600,15
1482532200,15
1482535800,15
1482539400,12
1482543000,15
1482546600,17
1482550200,16
1482553800,17
1482557400,18
1482561000,9
1482564600,6
1482568200,3
1482571800,0
1482575400,0
1482579000,1
1482582600,3
1482586200,3
1482589800,3
1482593400,5
1482597000,2
1482600600,1
1482604200,2
1482607800,0
1482611400,1
1482615000,3
1482618600,6
1482622200,6
1482625800,6
1482629400,7
1482633000,11
1482636600,7
1482640200,11
1482643800,11
1482647400,12
1482651000,9
1482654600,10
1482658200,9
1482661800,8
1482665400,6
1482669000,6
1482672600,8
1482676200,6
1482679800,5
1482683400,9
1482687000,9
1482690600,9
1482694200,15
1482697800,9
1482701400,9
1482705000,8
1482708600,9
1482712200,12
1482715800,12
1482719400,18
1482723000,12
1482726600,11
1482730200,11
1482733800,9
1482737400,7
1482741000,8
1482744600,11
1482748200,16
1482751800,11
1482755400,7
1482759000,4
1482762600,6
1482766200,6
1482769800,5
1482773400,7
1482777000,4
1482780600,5
1482784200,5
1482787800,4
1482791400,4
1482795000,4
1482798600,5
1482802200,3
