EpochTime,3.feed_29.PM10_UG_M3,3.feed_29.PM25_UG_M3
1481866200,9.0,5.0
1481869800,10.0,5.0
1481873400,11.0,6.0
1481877000,10.0,5.0
1481880600,10.0,5.0
1481884200,10.0,5.0
1481887800,14.0,7.0
1481891400,14.0,6.0
1481895000,13.0,6.0
1481898600,19.0,6.0
1481902200,14.0,5.0
1481905800,12.0,3.0
1481909400,10.0,2.0
1481913000,12.0,4.0
1481916600,16.0,4.0
1481920200,16.0,3.0
1481923800,18.0,5.0
1481927400,19.0,5.0
1481931000,20.0,5.0
1481934600,17.0,4.0
1481938200,18.0,5.0
1481941800,25.0,7.0
1481945400,17.0,5.0
1481949000,14.0,3.0
1481952600,14.0,4.0
1481956200,9.0,2.0
1481959800,12.0,5.0
1481963400,6.0,3.0
1481967000,6.0,2.0
1481970600,5.0,3.0
1481974200,3.0,3.0
1481977800,5.0,4.0
1481981400,4.0,3.0
1481985000,3.0,3.0
1481988600,4.0,3.0
1481992200,7.0,6.0
1481995800,10.0,8.0
1481999400,27.0,21.0
1482003000,86.0,61.0
1482006600,89.0,64.0
1482010200,46.0,33.0
1482013800,40.0,27.0
1482017400,32.0,20.0
1482021000,31.0,20.0
1482024600,24.0,15.0
1482028200,31.0,19.0
1482031800,18.0,10.0
1482035400,29.0,17.0
1482039000,26.0,16.0
1482042600,20.0,14.0
1482046200,12.0,10.0
1482049800,16.0,11.0
1482053400,1.0,1.0
1482057000,0.0,2.0
1482060600,1.0,4.0
1482064200,6.0,7.0
1482067800,9.0,10.0
1482071400,11.0,12.0
1482075000,10.0,10.0
1482078600,8.0,7.0
1482082200,9.0,8.0
1482085800,8.0,8.0
1482089400,7.0,7.0
1482093000,8.0,6.0
1482096600,9.0,7.0
1482100200,7.0,6.0
1482103800,5.0,6.0
1482107400,9.0,7.0
1482111000,7.0,5.0
1482114600,5.0,5.0
1482118200,4.0,4.0
1482121800,5.0,4.0
1482125400,2.0,3.0
1482129000,5.0,2.0
1482132600,2.0,3.0
1482136200,5.0,3.0
1482139800,3.0,3.0
1482143400,5.0,4.0
1482147000,8.0,7.0
1482150600,8.0,5.0
1482154200,7.0,5.0
1482157800,6.0,2.0
1482161400,4.0,3.0
1482165000,5.0,3.0
1482168600,9.0,5.0
1482172200,11.0,7.0
1482175800,12.0,8.0
1482179400,12.0,6.0
1482183000,13.0,6.0
1482186600,13.0,7.0
1482190200,15.0,7.0
1482193800,16.0,8.0
1482197400,12.0,8.0
1482201000,16.0,10.0
1482204600,29.0,18.0
1482208200,23.0,13.0
1482211800,36.0,21.0
1482215400,62.0,37.0
1482219000,65.0,40.0
1482222600,38.0,25.0
1482226200,37.0,24.0
1482229800,34.0,23.0
1482233400,47.0,31.0
1482237000,30.0,20.0
1482240600,28.0,20.0
1482244200,30.0,21.0
1482247800,38.0,25.0
1482251400,17.0,10.0
1482255000,9.0,4.0
1482258600,10.0,6.0
1482262200,13.0,6.0
1482265800,15.0,8.0
1482269400,19.0,11.0
1482273000,18.0,10.0
1482276600,9.0,6.0
1482280200,20.0,11.0
1482283800,8.0,6.0
1482287400,10.0,7.0
1482291000,10.0,8.0
1482294600,10.0,7.0
1482298200,11.0,9.0
1482301800,10.0,9.0
1482305400,13.0,11.0
1482309000,20.0,13.0
1482312600,27.0,19.0
1482316200,20.0,13.0
1482319800,26.0,17.0
1482323400,19.0,13.0
1482327000,20.0,15.0
1482330600,15.0,10.0
1482334200,10.0,8.0
1482337800,11.0,7.0
1482341400,14.0,8.0
