EpochTime,3.feed_27.NO_PPB,3.feed_27.NOY_PPB,3.feed_27.CO_PPB,3.feed_27.SO2_PPB
1507087800,0.0,17.8,333.1,0.2
1507091400,0.0,17.5,335.3,0.1
1507095000,0.1,18.9,,0.0
1507098600,,,345.7,0.0
1507102200,0.6,19.7,382.3,
1507105800,1.7,20.0,409.7,0.0
1507109400,4.5,21.6,433.9,0.0
1507113000,11.4,28.0,541.1,0.1
1507116600,25.5,42.3,768.2,0.4
1507120200,47.3,65.8,966.1,0.8
1507123800,47.1,73.8,1050.2,1.4
1507127400,9.1,27.5,373.6,1.1
1507131000,2.7,12.5,,
1507134600,,,174.7,
1507138200,,,164.1,1.1
1507141800,0.5,5.1,167.3,0.7
1507145400,0.3,4.6,159.7,0.6
1507149000,0.2,4.4,158.4,0.5
1507152600,0.1,4.3,165.5,0.5
1507156200,0.0,5.1,175.4,0.6
1507159800,0.0,7.4,206.0,0.5
1507163400,0.2,12.8,222.3,0.6
1507167000,0.0,8.1,194.4,0.7
1507170600,0.0,7.3,181.2,0.9
1507174200,0.0,9.7,208.7,0.9
1507177800,0.0,11.5,204.2,0.8
1507181400,0.0,7.8,,0.9
1507185000,,,160.6,1.2
1507188600,0.0,4.4,154.5,
1507192200,0.0,6.2,161.4,0.9
1507195800,0.0,8.3,178.6,0.8
1507199400,0.1,12.5,202.9,0.6
1507203000,1.1,20.7,268.8,0.6
