EpochTime,3.feed_3506.PM2_5,3.feed_3506.OZONE
1486297800,6.0,27.0
1486301400,9.0,26.0
1486305000,9.0,31.0
1486308600,15.0,32.0
1486312200,14.0,31.0
1486315800,15.0,33.0
1486319400,14.0,37.0
1486323000,11.0,37.0
1486326600,14.0,39.0
1486330200,13.0,37.0
1486333800,15.0,37.0
1486337400,18.0,35.0
1486341000,15.0,34.0
1486344600,19.0,34.0
1486348200,14.0,32.0
1486351800,17.0,29.0
1486355400,16.0,29.0
1486359000,19.0,28.0
1486362600,19.0,19.0
1486366200,15.0,11.0
1486369800,18.0,5.0
1486373400,19.0,6.0
1486377000,21.0,1.0
1486380600,21.0,0.0
1486384200,27.0,0.0
1486387800,28.0,1.0
1486391400,28.0,4.0
1486395000,24.0,16.0
1486398600,22.0,24.0
1486402200,17.0,29.0
1486405800,17.0,35.0
1486409400,13.0,37.0
1486413000,12.0,40.0
1486416600,12.0,38.0
1486420200,14.0,34.0
1486423800,14.0,27.0
1486427400,13.0,21.0
1486431000,16.0,1.0
1486434600,17.0,0.0
1486438200,18.0,0.0
1486441800,12.0,0.0
1486445400,17.0,0.0
1486449000,21.0,0.0
1486452600,17.0,0.0
1486456200,19.0,0.0
1486459800,10.0,1.0
1486463400,16.0,5.0
1486467000,6.0,9.0
1486470600,6.0,12.0
1486474200,4.0,12.0
1486477800,3.0,12.0
1486481400,7.0,15.0
1486485000,6.0,23.0
1486488600,4.0,28.0
1486492200,3.0,33.0
1486495800,5.0,34.0
1486499400,6.0,35.0
1486503000,8.0,32.0
1486506600,7.0,29.0
1486510200,7.0,31.0
1486513800,4.0,31.0
1486517400,4.0,33.0
1486521000,4.0,33.0
1486524600,2.0,32.0
1486528200,2.0,30.0
1486531800,5.0,31.0
1486535400,5.0,31.0
1486539000,7.0,31.0
1486542600,13.0,31.0
1486546200,10.0,30.0
1486549800,7.0,30.0
1486553400,9.0,32.0
1486557000,9.0,27.0
1486560600,12.0,11.0
1486564200,9.0,12.0
1486567800,6.0,12.0
1486571400,5.0,13.0
1486575000,6.0,15.0
1486578600,5.0,18.0
1486582200,8.0,18.0
1486585800,5.0,20.0
1486589400,5.0,20.0
1486593000,7.0,20.0
1486596600,10.0,20.0
1486600200,6.0,18.0
1486603800,6.0,21.0
1486607400,6.0,26.0
1486611000,10.0,22.0
1486614600,8.0,24.0
1486618200,6.0,25.0
1486621800,4.0,28.0
1486625400,5.0,30.0
1486629000,4.0,31.0
1486632600,4.0,30.0
1486636200,5.0,32.0
1486639800,7.0,31.0
1486643400,6.0,31.0
1486647000,6.0,30.0
1486650600,10.0,31.0
1486654200,8.0,
1486657800,7.0,
1486661400,8.0,36.0
1486665000,9.0,38.0
1486668600,8.0,39.0
1486672200,7.0,37.0
1486675800,3.0,36.0
1486679400,7.0,36.0
1486683000,6.0,35.0
1486686600,8.0,35.0
1486690200,6.0,34.0
1486693800,6.0,33.0
1486697400,8.0,34.0
1486701000,7.0,35.0
1486704600,11.0,35.0
1486708200,7.0,33.0
1486711800,6.0,34.0
1486715400,9.0,34.0
1486719000,9.0,32.0
1486722600,12.0,27.0
1486726200,15.0,23.0
1486729800,12.0,20.0
1486733400,16.0,19.0
1486737000,11.0,22.0
1486740600,12.0,27.0
1486744200,8.0,33.0
1486747800,9.0,35.0
1486751400,12.0,33.0
1486755000,11.0,29.0
1486758600,8.0,27.0
1486762200,11.0,23.0
1486765800,11.0,16.0
1486769400,11.0,13.0
1486773000,13.0,9.0
1486776600,10.0,10.0
1486780200,11.0,4.0
1486783800,15.0,2.0
1486787400,13.0,9.0
1486791000,9.0,15.0
1486794600,5.0,14.0
1486798200,6.0,19.0
1486801800,6.0,23.0
1486805400,4.0,19.0
1486809000,2.0,19.0
1486812600,2.0,20.0
1486816200,5.0,19.0
1486819800,3.0,16.0
1486823400,7.0,17.0
1486827000,9.0,19.0
1486830600,7.0,29.0
1486834200,6.0,34.0
1486837800,8.0,36.0
1486841400,9.0,36.0
1486845000,9.0,36.0
1486848600,12.0,36.0
1486852200,13.0,28.0
1486855800,12.0,22.0
1486859400,19.0,3.0
1486863000,21.0,0.0
1486866600,13.0,0.0
1486870200,17.0,0.0
1486873800,18.0,0.0
1486877400,17.0,0.0
1486881000,15.0,0.0
1486884600,16.0,0.0
1486888200,18.0,0.0
1486891800,18.0,1.0
1486895400,15.0,0.0
1486899000,16.0,1.0
1486902600,13.0,1.0
1486906200,21.0,1.0
1486909800,9.0,6.0
1486913400,7.0,15.0
1486917000,4.0,13.0
1486920600,9.0,18.0
1486924200,8.0,20.0
1486927800,7.0,29.0
1486931400,8.0,36.0
1486935000,4.0,42.0
1486938600,6.0,38.0
1486942200,7.0,35.0
1486945800,10.0,33.0
1486949400,7.0,40.0
1486953000,5.0,41.0
1486956600,5.0,43.0
1486960200,10.0,43.0
1486963800,8.0,42.0
1486967400,5.0,42.0
1486971000,3.0,43.0
1486974600,4.0,41.0
1486978200,4.0,39.0
1486981800,6.0,39.0
1486985400,6.0,38.0
1486989000,5.0,35.0
1486992600,10.0,34.0
1486996200,9.0,35.0
1486999800,8.0,34.0
1487003400,7.0,38.0
1487007000,5.0,38.0
1487010600,4.0,41.0
1487014200,3.0,39.0
1487017800,5.0,40.0
1487021400,4.0,40.0
1487025000,4.0,38.0
1487028600,6.0,33.0
1487032200,8.0,30.0
1487035800,9.0,17.0
1487039400,10.0,1.0
1487043000,16.0,0.0
1487046600,13.0,0.0
1487050200,13.0,0.0
1487053800,8.0,0.0
1487057400,12.0,0.0
1487061000,14.0,0.0
1487064600,11.0,0.0
1487068200,12.0,0.0
1487071800,11.0,0.0
