EpochTime,3.feed_3.PM10B_UG_M3..3.feed_3.PM10_640_UG_M3
1480530600,18.0
1480534200,8.0
1480537800,17.0
1480541400,30.0
1480545000,22.0
1480548600,14.0
1480552200,15.0
1480555800,11.0
1480559400,8.0
1480563000,5.0
1480566600,11.0
1480570200,13.0
1480573800,11.0
1480577400,11.0
1480581000,10.0
1480584600,14.0
1480588200,13.0
1480591800,9.0
1480595400,9.0
1480599000,6.0
1480602600,2.0
1480606200,4.0
1480609800,8.0
1480613400,4.0
1480617000,2.0
1480620600,5.0
1480624200,12.0
1480627800,10.0
1480631400,9.0
1480635000,5.0
1480638600,5.0
1480642200,5.0
1480645800,8.0
1480649400,5.0
1480653000,8.0
1480656600,7.0
1480660200,5.0
1480663800,5.0
1480667400,5.0
1480671000,5.0
1480674600,5.0
1480678200,8.0
1480681800,13.0
1480685400,16.0
1480689000,13.0
1480692600,10.0
1480696200,8.0
1480699800,7.0
1480703400,3.0
1480707000,10.0
1480710600,9.0
1480714200,5.0
1480717800,5.0
1480721400,10.0
1480725000,8.0
1480728600,5.0
1480732200,8.0
1480735800,10.0
1480739400,8.0
1480743000,8.0
1480746600,9.0
1480750200,11.0
1480753800,8.0
1480757400,5.0
1480761000,4.0
1480764600,13.0
1480768200,11.0
1480771800,7.0
1480775400,7.0
1480779000,11.0
1480782600,15.0
1480786200,6.0
1480789800,10.0
1480793400,13.0
1480797000,8.0
1480800600,7.0
1480804200,12.0
1480807800,11.0
1480811400,15.0
1480815000,6.0
1480818600,9.0
1480822200,10.0
1480825800,6.0
1480829400,8.0
1480833000,8.0
1480836600,7.0
1480840200,17.0
1480843800,4.0
1480847400,7.0
1480851000,20.0
1480854600,21.0
1480858200,15.0
1480861800,27.0
1480865400,32.0
1480869000,11.0
1480872600,11.0
1480876200,10.0
1480879800,12.0
1480883400,8.0
1480887000,19.0
1480890600,8.0
1480894200,8.0
1480897800,9.0
1480901400,18.0
1480905000,7.0
1480908600,9.0
1480912200,7.0
1480915800,26.0
1480919400,26.0
1480923000,0.0
1480926600,6.0
1480930200,3.0
1480933800,1.0
1480937400,4.0
1480941000,5.0
1480944600,7.0
1480948200,9.0
1480951800,12.0
1480955400,9.0
1480959000,17.0
1480962600,15.0
1480966200,12.0
1480969800,9.0
1480973400,14.0
1480977000,8.0
1480980600,8.0
1480984200,15.0
1480987800,6.0
1480991400,8.0
1480995000,10.0
1480998600,16.0
1481002200,10.0
1481005800,11.0
1481009400,10.0
1481013000,15.0
1481016600,12.0
1481020200,6.0
1481023800,3.0
1481027400,4.0
1481031000,9.0
1481034600,15.0
1481038200,13.0
1481041800,8.0
1481045400,4.0
1481049000,3.0
1481052600,0.0
1481056200,6.0
1481059800,5.0
1481063400,1.0
1481067000,1.0
1481070600,17.0
1481074200,10.0
1481077800,15.0
1481081400,19.0
1481085000,22.0
1481088600,5.0
1481092200,9.0
1481095800,10.0
1481099400,13.0
1481103000,14.0
1481106600,16.0
1481110200,17.0
1481113800,24.0
1481117400,26.0
1481121000,23.0
1481124600,26.0
1481128200,23.0
1481131800,15.0
1481135400,10.0
1481139000,8.0
1481142600,9.0
1481146200,12.0
1481149800,9.0
1481153400,17.0
1481157000,13.0
1481160600,9.0
1481164200,15.0
1481167800,12.0
1481171400,6.0
1481175000,7.0
1481178600,13.0
1481182200,10.0
1481185800,7.0
1481189400,11.0
1481193000,15.0
1481196600,12.0
1481200200,17.0
1481203800,18.0
1481207400,20.0
1481211000,13.0
1481214600,12.0
1481218200,15.0
1481221800,11.0
1481225400,10.0
1481229000,13.0
1481232600,11.0
1481236200,13.0
1481239800,13.0
1481243400,12.0
1481247000,10.0
1481250600,10.0
1481254200,9.0
1481257800,9.0
1481261400,13.0
1481265000,10.0
1481268600,7.0
1481272200,8.0
1481275800,9.0
1481279400,8.0
1481283000,11.0
1481286600,17.0
1481290200,11.0
1481293800,13.0
1481297400,13.0
1481301000,14.0
1481304600,15.0
1481308200,11.0
1481311800,12.0
1481315400,11.0
1481319000,12.0
1481322600,9.0
1481326200,8.0
1481329800,9.0
1481333400,10.0
1481337000,10.0
1481340600,15.0
1481344200,9.0
1481347800,9.0
1481351400,10.0
1481355000,12.0
1481358600,12.0
1481362200,12.0
1481365800,16.0
1481369400,14.0
1481373000,13.0
1481376600,16.0
1481380200,11.0
1481383800,10.0
1481387400,14.0
1481391000,18.0
1481394600,19.0
1481398200,13.0
1481401800,13.0
1481405400,17.0
1481409000,13.0
1481412600,20.0
1481416200,19.0
1481419800,16.0
1481423400,17.0
1481427000,18.0
1481430600,14.0
1481434200,22.0
1481437800,25.0
1481441400,17.0
1481445000,26.0
1481448600,28.0
1481452200,22.0
1481455800,23.0
1481459400,22.0
1481463000,26.0
1481466600,21.0
1481470200,41.0
1481473800,21.0
1481477400,21.0
1481481000,11.0
1481484600,11.0
1481488200,10.0
1481491800,13.0
1481495400,13.0
1481499000,12.0
1481502600,13.0
1481506200,14.0
1481509800,17.0
1481513400,18.0
1481517000,13.0
1481520600,15.0
1481524200,16.0
1481527800,32.0
1481531400,53.0
1481535000,27.0
1481538600,25.0
1481542200,4.0
1481545800,7.0
1481549400,6.0
1481553000,8.0
1481556600,11.0
1481560200,10.0
1481563800,6.0
1481567400,13.0
1481571000,13.0
1481574600,13.0
1481578200,17.0
1481581800,11.0
1481585400,15.0
1481589000,17.0
1481592600,18.0
1481596200,15.0
1481599800,14.0
1481603400,23.0
1481607000,17.0
1481610600,15.0
1481614200,19.0
1481617800,22.0
1481621400,24.0
1481625000,37.0
1481628600,24.0
1481632200,32.0
1481635800,35.0
1481639400,32.0
1481643000,37.0
1481646600,42.0
1481650200,31.0
1481653800,32.0
1481657400,27.0
1481661000,25.0
1481664600,29.0
1481668200,23.0
1481671800,19.0
1481675400,14.0
1481679000,30.0
1481682600,13.0
1481686200,10.0
1481689800,13.0
1481693400,14.0
1481697000,13.0
1481700600,20.0
1481704200,15.0
1481707800,22.0
1481711400,20.0
1481715000,22.0
1481718600,17.0
1481722200,17.0
1481725800,19.0
1481729400,21.0
1481733000,22.0
1481736600,24.0
1481740200,27.0
1481743800,13.0
1481747400,23.0
1481751000,20.0
1481754600,21.0
1481758200,13.0
1481761800,17.0
1481765400,15.0
1481769000,6.0
1481772600,9.0
1481776200,24.0
1481779800,24.0
1481783400,20.0
1481787000,17.0
1481790600,20.0
1481794200,14.0
1481797800,21.0
1481801400,20.0
1481805000,21.0
1481808600,21.0
1481812200,18.0
1481815800,21.0
1481819400,24.0
1481823000,19.0
1481826600,20.0
1481830200,12.0
1481833800,18.0
1481837400,17.0
1481841000,20.0
1481844600,14.0
1481848200,16.0
1481851800,13.0
1481855400,20.0
1481859000,15.0
1481862600,18.0
1481866200,17.0
1481869800,17.0
1481873400,20.0
1481877000,33.0
1481880600,13.0
1481884200,17.0
1481887800,24.0
1481891400,39.0
1481895000,28.0
1481898600,34.0
1481902200,34.0
1481905800,35.0
1481909400,29.0
1481913000,23.0
1481916600,18.0
1481920200,18.0
1481923800,22.0
1481927400,21.0
1481931000,25.0
1481934600,14.0
1481938200,17.0
1481941800,23.0
1481945400,21.0
1481949000,18.0
1481952600,24.0
1481956200,16.0
1481959800,19.0
1481963400,11.0
1481967000,9.0
1481970600,6.0
1481974200,12.0
1481977800,12.0
1481981400,15.0
1481985000,2.0
1481988600,5.0
1481992200,3.0
1481995800,8.0
1481999400,20.0
1482003000,154.0
1482006600,58.0
1482010200,50.0
1482013800,74.0
1482017400,166.0
1482021000,87.0
1482024600,29.0
1482028200,25.0
1482031800,24.0
1482035400,17.0
1482039000,17.0
1482042600,14.0
1482046200,9.0
1482049800,12.0
1482053400,6.0
1482060600,0.0
1482064200,3.0
1482071400,2.0
1482075000,5.0
1482078600,10.0
1482082200,10.0
1482085800,11.0
1482089400,9.0
1482093000,7.0
1482096600,8.0
1482100200,10.0
1482103800,7.0
1482107400,9.0
1482111000,10.0
1482114600,9.0
1482118200,8.0
1482121800,9.0
1482125400,5.0
1482129000,8.0
1482132600,9.0
1482136200,7.0
1482139800,5.0
1482143400,4.0
1482147000,3.0
1482150600,7.0
1482154200,10.0
1482157800,13.0
1482161400,10.0
1482165000,17.0
1482168600,17.0
1482172200,19.0
1482175800,13.0
1482179400,22.0
1482183000,22.0
1482186600,30.0
1482190200,22.0
1482193800,17.0
1482197400,18.0
1482201000,24.0
1482204600,21.0
1482208200,27.0
1482211800,29.0
1482215400,30.0
1482219000,34.0
1482222600,34.0
1482226200,30.0
1482229800,27.0
1482233400,42.0
1482237000,43.0
1482240600,85.0
1482244200,73.0
1482247800,96.0
1482251400,40.0
1482255000,37.0
1482258600,25.0
1482262200,32.0
1482265800,38.0
1482269400,31.0
1482273000,23.0
1482276600,18.0
1482280200,23.0
1482283800,21.0
1482287400,24.0
1482291000,11.0
1482294600,14.0
1482298200,16.0
1482301800,16.0
1482305400,15.0
1482309000,10.0
1482312600,15.0
1482316200,23.0
1482319800,29.0
1482323400,25.0
1482327000,28.0
1482330600,24.0
1482334200,29.0
1482337800,28.0
1482341400,30.0
1482345000,31.0
1482348600,19.0
1482352200,28.0
1482355800,24.0
1482359400,32.0
1482363000,21.0
1482366600,40.0
1482370200,39.0
1482373800,24.0
1482377400,30.0
1482381000,60.0
1482384600,65.0
1482388200,60.0
1482391800,32.0
1482395400,41.0
1482399000,16.0
1482402600,22.0
1482406200,16.0
1482409800,24.0
1482413400,22.0
1482417000,31.0
1482420600,22.0
1482424200,26.0
1482427800,37.0
1482431400,33.0
1482435000,27.0
1482438600,33.0
1482442200,22.0
1482445800,21.0
1482449400,28.0
1482453000,15.0
1482456600,14.0
1482460200,22.0
1482463800,13.0
1482467400,14.0
1482471000,18.0
1482474600,10.0
1482478200,9.0
1482481800,17.0
1482485400,18.0
1482489000,3.0
1482492600,22.0
1482496200,43.0
1482499800,44.0
1482503400,37.0
1482507000,31.0
1482510600,35.0
1482514200,28.0
1482517800,32.0
1482521400,35.0
1482525000,21.0
1482528600,22.0
1482532200,21.0
1482535800,26.0
1482539400,31.0
1482543000,18.0
1482546600,31.0
1482550200,51.0
1482553800,64.0
1482557400,66.0
1482561000,81.0
1482564600,26.0
1482568200,21.0
1482571800,17.0
1482575400,19.0
1482579000,24.0
1482582600,23.0
1482586200,19.0
1482589800,11.0
1482593400,7.0
1482597000,9.0
1482600600,12.0
1482604200,7.0
1482607800,1.0
1482611400,8.0
1482615000,10.0
1482618600,8.0
1482622200,12.0
1482625800,13.0
1482629400,13.0
1482633000,17.0
1482636600,12.0
1482640200,19.0
1482643800,17.0
1482647400,12.0
1482651000,17.0
1482654600,11.0
1482658200,9.0
1482661800,16.0
1482665400,11.0
1482669000,7.0
1482672600,14.0
1482676200,11.0
1482679800,6.0
1482683400,15.0
