EpochTime,3.feed_1.PM25B_UG_M3..3.feed_1.PM25T_UG_M3..3.feed_1.PM25_640_UG_M3
1480894200,3.0
1480897800,2.0
1480901400,3.0
1480905000,4.0
1480908600,6.0
1480912200,7.0
1480915800,7.0
1480919400,7.0
1480923000,4.0
1480926600,2.0
1480930200,1.0
1480933800,4.0
1480937400,3.0
1480941000,0.0
1480944600,3.0
1480948200,3.0
1480951800,3.0
1480955400,5.0
1480959000,5.0
1480962600,4.0
1480966200,3.0
1480969800,3.0
1480973400,5.0
1480977000,4.0
1480980600,5.0
1480984200,3.0
1480987800,7.0
1480991400,7.0
1480995000,4.0
1480998600,11.0
1481002200,15.0
1481005800,9.0
1481009400,6.0
1481013000,5.0
1481016600,11.0
1481020200,10.0
1481023800,6.0
1481027400,9.0
1481031000,8.0
1481034600,6.0
1481038200,5.0
1481041800,4.0
1481045400,3.0
1481049000,1.0
1481052600,-2.0
1481056200,-2.0
1481059800,0.0
1481063400,2.0
1481067000,3.0
1481070600,4.0
1481074200,1.0
1481077800,1.0
1481081400,4.0
1481085000,3.0
1481088600,3.0
1481092200,6.0
1481095800,9.0
1481099400,11.0
1481103000,11.0
1481106600,16.0
1481110200,16.0
1481113800,11.0
1481117400,13.0
1481121000,16.0
1481124600,14.0
1481128200,15.0
1481131800,13.0
1481135400,9.0
1481139000,6.0
1481142600,4.0
1481146200,3.0
1481149800,3.0
1481153400,2.0
1481157000,0.0
1481160600,1.0
1481164200,3.0
1481167800,1.0
1481171400,0.0
1481175000,4.0
1481178600,6.0
1481182200,7.0
1481185800,5.0
1481189400,5.0
1481193000,5.0
1481196600,6.0
1481200200,5.0
1481203800,3.0
1481207400,5.0
1481211000,5.0
1481214600,5.0
1481218200,5.0
1481221800,8.0
1481225400,8.0
1481229000,9.0
1481232600,5.0
1481236200,4.0
1481239800,4.0
1481243400,3.0
1481247000,3.0
1481250600,2.0
1481254200,3.0
1481257800,5.0
1481261400,6.0
1481265000,8.0
1481268600,7.0
1481272200,7.0
1481275800,5.0
1481279400,5.0
1481283000,4.0
1481286600,3.0
1481290200,13.0
1481293800,10.0
1481297400,7.0
1481301000,9.0
1481304600,7.0
1481308200,5.0
1481311800,5.0
1481315400,4.0
1481319000,7.0
1481322600,8.0
1481326200,5.0
1481329800,6.0
1481333400,6.0
1481337000,7.0
1481340600,7.0
1481344200,7.0
1481347800,10.0
1481351400,7.0
1481355000,13.0
1481358600,8.0
1481362200,4.0
1481365800,4.0
1481369400,8.0
1481373000,6.0
1481376600,7.0
1481380200,10.0
1481383800,7.0
1481387400,6.0
1481391000,5.0
1481394600,4.0
1481398200,9.0
1481401800,4.0
1481405400,1.0
1481409000,9.0
1481412600,9.0
1481416200,6.0
1481419800,10.0
1481423400,10.0
1481427000,9.0
1481430600,10.0
1481434200,10.0
1481437800,10.0
1481441400,14.0
1481445000,9.0
1481448600,9.0
1481452200,8.0
1481455800,8.0
1481459400,7.0
1481463000,6.0
1481466600,19.0
1481470200,16.0
1481473800,6.0
1481477400,8.0
1481481000,8.0
1481484600,7.0
1481488200,9.0
1481491800,7.0
1481495400,8.0
1481499000,8.0
1481502600,11.0
1481506200,8.0
1481509800,7.0
1481513400,7.0
1481517000,8.0
1481520600,8.0
1481524200,7.0
1481527800,7.0
1481531400,9.0
1481535000,5.0
1481538600,4.0
1481542200,3.0
1481545800,4.0
1481549400,5.0
1481553000,4.0
1481556600,3.0
1481560200,4.0
1481563800,3.0
1481567400,2.0
1481571000,3.0
1481574600,5.0
1481578200,6.0
1481581800,9.0
1481585400,7.0
1481589000,6.0
1481592600,5.0
1481596200,8.0
1481599800,11.0
1481603400,11.0
1481607000,15.0
1481610600,16.0
1481614200,13.0
1481617800,14.0
1481621400,15.0
1481625000,18.0
1481628600,18.0
1481632200,19.0
1481635800,21.0
1481639400,21.0
1481643000,21.0
1481646600,23.0
1481650200,19.0
1481653800,19.0
1481657400,20.0
1481661000,24.0
1481664600,15.0
1481668200,13.0
1481671800,15.0
1481675400,13.0
1481679000,12.0
1481682600,13.0
1481686200,10.0
1481689800,7.0
1481693400,15.0
1481697000,14.0
1481700600,18.0
1481704200,15.0
1481707800,18.0
1481711400,14.0
1481715000,14.0
1481718600,15.0
1481722200,12.0
1481725800,13.0
1481729400,12.0
1481733000,9.0
1481736600,14.0
1481740200,14.0
1481743800,8.0
1481747400,4.0
1481751000,5.0
1481754600,5.0
1481758200,8.0
1481761800,4.0
1481765400,2.0
1481769000,6.0
1481772600,0.0
1481776200,14.0
1481779800,15.0
1481783400,13.0
1481787000,8.0
1481790600,3.0
1481794200,1.0
1481797800,0.0
1481801400,2.0
1481805000,4.0
1481808600,7.0
1481812200,6.0
1481815800,6.0
1481819400,5.0
1481823000,5.0
1481826600,6.0
1481830200,7.0
1481833800,4.0
1481837400,4.0
1481841000,3.0
1481844600,5.0
1481848200,9.0
1481851800,9.0
1481855400,8.0
1481859000,7.0
1481862600,8.0
1481866200,12.0
1481869800,9.0
1481873400,9.0
1481877000,9.0
1481880600,9.0
1481884200,9.0
1481887800,10.0
1481891400,14.0
1481895000,12.0
1481898600,14.0
1481902200,13.0
1481905800,11.0
1481909400,18.0
1481913000,11.0
1481916600,10.0
1481920200,12.0
1481923800,9.0
1481927400,11.0
1481931000,9.0
1481934600,7.0
1481938200,9.0
1481941800,8.0
1481945400,9.0
1481949000,6.0
1481952600,3.0
1481956200,3.0
1481959800,9.0
1481963400,6.0
1481967000,2.0
1481970600,1.0
1481974200,4.0
1481977800,3.0
1481981400,10.0
1481985000,8.0
1481988600,8.0
1481992200,14.0
1481995800,16.0
1481999400,18.0
1482003000,20.0
1482006600,21.0
1482010200,20.0
1482013800,20.0
1482017400,18.0
1482021000,11.0
1482024600,11.0
1482028200,7.0
1482031800,5.0
1482035400,4.0
1482039000,1.0
1482042600,-1.0
1482046200,-2.0
1482049800,0.0
1482053400,0.0
1482057000,-1.0
1482060600,0.0
1482064200,-1.0
1482071400,0.0
1482075000,8.0
1482078600,6.0
1482082200,3.0
1482085800,3.0
1482089400,5.0
1482093000,5.0
1482096600,5.0
1482100200,4.0
1482103800,4.0
1482107400,3.0
1482111000,1.0
1482114600,4.0
1482118200,6.0
1482121800,7.0
1482125400,4.0
1482129000,3.0
1482132600,5.0
1482136200,5.0
1482139800,6.0
1482143400,12.0
1482147000,21.0
1482150600,7.0
1482154200,13.0
1482157800,10.0
1482161400,8.0
1482165000,7.0
1482168600,8.0
1482172200,7.0
1482175800,6.0
1482179400,9.0
1482183000,6.0
1482186600,4.0
1482190200,7.0
1482193800,10.0
1482197400,12.0
1482201000,11.0
1482204600,15.0
1482208200,16.0
1482211800,11.0
1482215400,15.0
1482219000,16.0
1482222600,15.0
1482226200,20.0
1482229800,19.0
1482233400,22.0
1482237000,23.0
1482240600,31.0
1482244200,35.0
1482247800,39.0
1482251400,24.0
1482255000,15.0
1482258600,12.0
1482262200,11.0
1482265800,10.0
1482269400,6.0
1482273000,8.0
1482276600,10.0
1482280200,9.0
1482283800,10.0
1482287400,7.0
1482291000,5.0
1482294600,9.0
1482298200,9.0
1482301800,12.0
1482305400,9.0
1482309000,10.0
1482312600,14.0
1482316200,11.0
1482319800,11.0
1482323400,14.0
1482327000,14.0
1482330600,11.0
1482334200,20.0
1482337800,14.0
1482341400,13.0
1482345000,10.0
1482348600,10.0
1482352200,11.0
1482355800,7.0
1482359400,12.0
1482363000,13.0
1482366600,16.0
1482370200,16.0
1482373800,19.0
1482377400,13.0
1482381000,17.0
1482384600,17.0
1482388200,7.0
1482391800,6.0
1482395400,5.0
1482399000,6.0
1482402600,4.0
1482406200,6.0
1482409800,8.0
1482413400,14.0
1482417000,15.0
1482420600,14.0
1482424200,15.0
1482427800,21.0
1482431400,18.0
1482435000,17.0
1482438600,14.0
1482442200,11.0
1482445800,8.0
1482449400,9.0
1482453000,10.0
1482456600,11.0
1482460200,8.0
1482463800,11.0
1482467400,11.0
1482471000,8.0
1482474600,7.0
1482478200,7.0
1482481800,8.0
1482485400,11.0
1482489000,11.0
1482492600,10.0
1482496200,20.0
1482499800,19.0
1482503400,14.0
1482507000,14.0
1482510600,13.0
1482514200,21.0
1482517800,16.0
1482521400,11.0
1482525000,15.0
1482528600,15.0
1482532200,15.0
1482535800,15.0
1482539400,12.0
1482543000,15.0
1482546600,17.0
1482550200,16.0
1482553800,17.0
1482557400,18.0
1482561000,9.0
1482564600,6.0
1482568200,3.0
1482571800,0.0
1482575400,0.0
1482579000,1.0
1482582600,3.0
1482586200,3.0
1482589800,3.0
1482593400,5.0
1482597000,2.0
1482600600,1.0
1482604200,2.0
1482607800,0.0
1482611400,1.0
1482615000,3.0
1482618600,6.0
1482622200,6.0
1482625800,6.0
1482629400,7.0
1482633000,11.0
1482636600,7.0
1482640200,11.0
1482643800,11.0
1482647400,12.0
1482651000,9.0
1482654600,10.0
1482658200,9.0
1482661800,8.0
1482665400,6.0
1482669000,6.0
1482672600,8.0
1482676200,6.0
1482679800,5.0
1482683400,9.0
1482687000,9.0
1482690600,9.0
1482694200,15.0
1482697800,9.0
1482701400,9.0
1482705000,8.0
1482708600,9.0
1482712200,12.0
1482715800,12.0
1482719400,18.0
1482723000,12.0
1482726600,11.0
1482730200,11.0
1482733800,9.0
1482737400,7.0
1482741000,8.0
1482744600,11.0
1482748200,16.0
1482751800,11.0
1482755400,7.0
1482759000,4.0
1482762600,6.0
1482766200,6.0
1482769800,5.0
1482773400,7.0
1482777000,4.0
1482780600,5.0
1482784200,5.0
1482787800,4.0
1482791400,4.0
1482795000,4.0
1482798600,5.0
1482802200,3.0
1482823800,1.0
1482827400,2.0
1482831000,1.0
1482834600,1.0
1482838200,2.0
1482841800,0.0
1482845400,1.0
1482849000,1.0
1482852600,1.0
1482856200,-1.0
1482863400,-1.0
1482867000,7.0
1482870600,5.0
1482874200,-1.0
1482881400,1.0
1482885000,4.0
1482888600,4.0
1482892200,3.0
1482895800,3.0
1482899400,4.0
1482903000,7.0
1482906600,6.0
1482910200,5.0
1482913800,5.0
1482917400,7.0
1482921000,6.0
1482924600,3.0
1482928200,5.0
1482931800,5.0
1482935400,5.0
1482939000,7.0
1482942600,6.0
1482946200,7.0
1482949800,16.0
1482953400,3.0
1482957000,2.0
1482960600,1.0
1482964200,2.0
1482967800,5.0
1482971400,10.0
1482975000,9.0
1482978600,7.0
1482982200,12.0
1482985800,8.0
1482989400,9.0
1482993000,20.0
1482996600,14.0
1483000200,11.0
1483003800,7.0
1483007400,5.0
1483011000,4.0
1483014600,4.0
1483018200,6.0
1483021800,8.0
1483025400,6.0
1483029000,6.0
1483032600,3.0
1483036200,6.0
1483039800,4.0
1483043400,0.0
1483047000,1.0
1483050600,2.0
1483054200,2.0
1483057800,2.0
1483061400,1.0
1483065000,2.0
1483068600,1.0
1483072200,3.0
1483075800,3.0
1483079400,5.0
1483083000,1.0
1483086600,0.0
1483090200,10.0
1483093800,5.0
1483097400,-2.0
1483101000,-2.0
1483104600,5.0
1483108200,3.0
1483119000,9.0
1483122600,6.0
1483126200,2.0
1483129800,-1.0
1483133400,0.0
1483137000,2.0
1483140600,1.0
1483144200,2.0
1483147800,3.0
1483151400,5.0
1483155000,4.0
1483158600,5.0
1483162200,5.0
1483165800,4.0
1483169400,6.0
1483173000,7.0
1483176600,4.0
1483180200,3.0
1483183800,3.0
1483187400,7.0
1483191000,4.0
1483194600,3.0
1483198200,5.0
1483201800,1.0
1483205400,3.0
1483209000,2.0
1483212600,1.0
1483216200,1.0
1483219800,0.0
1483223400,0.0
1483227000,2.0
1483230600,0.0
1483234200,0.0
1483237800,0.0
1483241400,0.0
1483245000,1.0
1483248600,6.0
1483252200,5.0
1483255800,1.0
1483259400,0.0
1483263000,4.0
1483266600,7.0
1483270200,15.0
1483273800,9.0
1483277400,13.0
1483281000,17.0
1483284600,13.0
1483288200,11.0
1483291800,21.0
1483295400,7.0
1483299000,8.0
1483302600,10.0
1483306200,7.0
