EpochTime,3.feed_29.PM25_UG_M3..3.feed_29.PM25T_UG_M3
1481459400,5
1481463000,6
1481466600,5
1481470200,5
1481473800,4
1481477400,4
1481481000,4
1481484600,5
1481488200,4
1481491800,6
1481495400,7
1481499000,7
1481502600,6
1481506200,6
1481509800,6
1481513400,7
1481517000,5
1481520600,5
1481524200,6
1481527800,14
1481531400,24
1481535000,7
1481538600,4
1481542200,3
1481545800,3
1481549400,4
1481553000,5
1481556600,5
1481560200,4
1481563800,3
1481567400,4
1481571000,5
1481574600,8
1481578200,7
1481581800,6
1481585400,8
1481589000,8
1481592600,7
1481596200,6
1481599800,7
1481603400,7
1481607000,7
1481610600,6
1481614200,11
1481617800,11
1481621400,16
1481625000,10
1481628600,7
1481632200,12
1481635800,8
1481639400,9
1481643000,11
1481646600,8
1481650200,8
1481653800,9
1481657400,8
1481661000,9
1481664600,10
1481668200,9
1481671800,8
1481675400,8
1481679000,8
1481682600,9
1481686200,9
1481689800,8
1481693400,7
1481697000,7
1481700600,8
1481704200,8
1481707800,8
1481711400,8
1481715000,8
1481718600,8
1481722200,7
1481725800,6
1481729400,5
1481733000,2
1481736600,3
1481740200,3
1481743800,3
1481747400,4
1481751000,3
1481754600,4
1481758200,4
1481761800,4
1481765400,4
1481769000,1
1481772600,3
1481776200,7
1481779800,7
1481783400,5
1481787000,5
1481790600,5
1481794200,5
1481797800,4
1481801400,5
1481805000,5
1481808600,6
1481812200,4
1481815800,3
1481819400,3
1481823000,4
1481826600,3
1481830200,3
1481833800,4
1481837400,5
1481841000,5
1481844600,5
1481848200,6
1481851800,6
1481855400,5
1481859000,5
1481862600,5
1481866200,5
1481869800,5
1481873400,6
1481877000,5
1481880600,5
1481884200,5
1481887800,7
1481891400,6
1481895000,6
1481898600,6
1481902200,5
1481905800,3
1481909400,2
1481913000,4
1481916600,4
1481920200,3
1481923800,5
1481927400,5
1481931000,5
1481934600,4
1481938200,5
1481941800,7
1481945400,5
1481949000,3
1481952600,4
1481956200,2
1481959800,5
1481963400,3
1481967000,2
1481970600,3
1481974200,3
1481977800,4
1481981400,3
1481985000,3
1481988600,3
1481992200,6
1481995800,8
1481999400,21
1482003000,61
1482006600,64
1482010200,33
1482013800,27
1482017400,20
1482021000,20
1482024600,15
1482028200,19
1482031800,10
1482035400,17
1482039000,16
1482042600,14
1482046200,10
1482049800,11
1482053400,1
1482057000,2
1482060600,4
1482064200,7
1482067800,10
1482071400,12
1482075000,10
1482078600,7
1482082200,8
1482085800,8
1482089400,7
1482093000,6
1482096600,7
1482100200,6
1482103800,6
1482107400,7
1482111000,5
1482114600,5
1482118200,4
1482121800,4
1482125400,3
1482129000,2
1482132600,3
1482136200,3
1482139800,3
1482143400,4
1482147000,7
1482150600,5
1482154200,5
1482157800,2
1482161400,3
1482165000,3
1482168600,5
1482172200,7
1482175800,8
1482179400,6
1482183000,6
1482186600,7
1482190200,7
1482193800,8
1482197400,8
1482201000,10
1482204600,18
1482208200,13
1482211800,21
1482215400,37
1482219000,40
1482222600,25
1482226200,24
1482229800,23
1482233400,31
1482237000,20
1482240600,20
1482244200,21
1482247800,25
1482251400,10
1482255000,4
1482258600,6
1482262200,6
1482265800,8
1482269400,11
1482273000,10
1482276600,6
1482280200,11
1482283800,6
1482287400,7
1482291000,8
1482294600,7
1482298200,9
1482301800,9
1482305400,11
1482309000,13
1482312600,19
1482316200,13
1482319800,17
1482323400,13
1482327000,15
1482330600,10
1482334200,8
1482337800,7
1482341400,8
1482345000,11
1482348600,6
1482352200,8
1482355800,9
1482359400,7
1482363000,13
1482366600,17
1482370200,7
1482373800,11
1482377400,18
1482381000,14
1482384600,23
1482388200,28
1482391800,17
1482395400,6
1482399000,4
1482402600,6
1482406200,7
1482409800,8
1482413400,10
1482417000,12
1482420600,10
1482424200,9
1482427800,8
1482431400,10
1482435000,9
1482438600,7
1482442200,7
1482445800,7
1482449400,7
1482453000,6
1482456600,5
1482460200,6
1482463800,5
1482467400,5
1482471000,5
1482474600,6
1482478200,7
1482481800,5
1482485400,5
1482489000,6
1482492600,7
1482496200,12
1482499800,15
1482503400,15
1482507000,8
1482510600,6
1482514200,7
1482517800,6
1482521400,6
1482525000,6
1482528600,7
1482532200,9
1482535800,10
1482539400,13
