EpochTime,3.feed_29.PM10_UG_M3
1481916600,16
1481920200,16
1481923800,18
1481927400,19
1481931000,20
1481934600,17
1481938200,18
1481941800,25
1481945400,17
1481949000,14
1481952600,14
1481956200,9
1481959800,12
1481963400,6
1481967000,6
1481970600,5
1481974200,3
1481977800,5
1481981400,4
1481985000,3
1481988600,4
1481992200,7
1481995800,10
1481999400,27
1482003000,86
1482006600,89
1482010200,46
1482013800,40
1482017400,32
1482021000,31
1482024600,24
1482028200,31
1482031800,18
1482035400,29
1482039000,26
1482042600,20
1482046200,12
1482049800,16
1482053400,1
1482057000,0
1482060600,1
1482064200,6
1482067800,9
1482071400,11
1482075000,10
1482078600,8
1482082200,9
1482085800,8
1482089400,7
1482093000,8
1482096600,9
1482100200,7
1482103800,5
1482107400,9
1482111000,7
1482114600,5
1482118200,4
1482121800,5
1482125400,2
1482129000,5
1482132600,2
1482136200,5
1482139800,3
1482143400,5
1482147000,8
1482150600,8
1482154200,7
1482157800,6
1482161400,4
1482165000,5
1482168600,9
1482172200,11
1482175800,12
1482179400,12
1482183000,13
1482186600,13
1482190200,15
1482193800,16
1482197400,12
1482201000,16
1482204600,29
1482208200,23
1482211800,36
1482215400,62
1482219000,65
1482222600,38
1482226200,37
1482229800,34
1482233400,47
1482237000,30
1482240600,28
1482244200,30
1482247800,38
1482251400,17
1482255000,9
1482258600,10
1482262200,13
1482265800,15
1482269400,19
1482273000,18
1482276600,9
1482280200,20
1482283800,8
1482287400,10
1482291000,10
1482294600,10
1482298200,11
1482301800,10
1482305400,13
1482309000,20
1482312600,27
1482316200,20
1482319800,26
1482323400,19
1482327000,20
1482330600,15
1482334200,10
1482337800,11
1482341400,14
1482345000,16
1482348600,12
1482352200,16
1482355800,16
1482359400,13
1482363000,23
1482366600,29
1482370200,12
1482373800,16
1482377400,29
1482381000,23
1482384600,38
1482388200,48
1482391800,34
1482395400,14
1482399000,8
1482402600,10
1482406200,12
1482409800,15
1482413400,15
1482417000,15
1482420600,14
1482424200,14
1482427800,12
1482431400,14
1482435000,13
1482438600,12
1482442200,9
1482445800,9
1482449400,10
1482453000,9
1482456600,7
1482460200,7
1482463800,6
1482467400,7
1482471000,7
1482474600,6
1482478200,7
1482481800,6
1482485400,6
1482489000,8
1482492600,8
1482496200,19
1482499800,22
1482503400,26
1482507000,13
1482510600,10
1482514200,13
1482517800,10
1482521400,9
1482525000,11
1482528600,10
1482532200,16
1482535800,19
1482539400,21
1482543000,18
1482546600,40
1482550200,36
1482553800,28
1482557400,26
1482561000,47
1482564600,25
1482568200,31
1482571800,23
1482575400,19
1482579000,16
1482582600,12
1482586200,8
1482589800,10
1482593400,4
1482597000,5
1482600600,3
1482604200,3
1482607800,6
1482611400,6
1482615000,6
1482618600,6
1482622200,9
1482625800,8
1482629400,8
1482633000,11
1482636600,11
1482640200,11
1482643800,12
1482647400,9
1482651000,9
1482654600,11
1482658200,11
1482661800,8
1482665400,6
1482669000,8
1482672600,8
1482676200,8
1482679800,4
1482683400,5
1482687000,8
1482690600,8
1482694200,7
1482697800,10
1482701400,9
1482705000,10
1482708600,9
1482712200,9
1482715800,8
1482719400,11
1482723000,10
1482726600,10
1482730200,9
1482733800,9
1482737400,10
1482741000,9
1482744600,7
1482748200,7
1482751800,3
1482755400,2
1482759000,3
1482762600,4
1482766200,4
1482769800,11
1482773400,16
1482777000,22
1482780600,25
1482784200,16
1482787800,17
1482791400,24
1482795000,27
1482798600,23
1482802200,27
1482805800,24
1482809400,14
1482813000,9
1482816600,9
1482820200,10
1482823800,2
1482827400,0
1482831000,0
1482834600,4
1482838200,7
1482841800,3
1482845400,1
1482849000,4
1482852600,4
1482856200,0
1482859800,0
1482863400,1
1482867000,4
1482870600,4
1482874200,7
1482877800,5
1482881400,5
1482885000,6
1482888600,7
1482892200,6
1482895800,5
1482899400,5
1482903000,4
1482906600,6
1482910200,5
1482913800,5
1482917400,6
1482921000,5
1482924600,3
1482928200,4
1482931800,5
1482935400,4
1482939000,3
1482942600,4
1482946200,5
1482949800,5
1482953400,7
1482957000,8
1482960600,7
1482964200,7
1482967800,7
1482971400,6
1482975000,9
1482978600,7
1482982200,8
1482985800,4
1482989400,11
1482993000,25
1482996600,13
1483000200,4
1483003800,23
1483007400,24
1483011000,11
1483014600,5
1483018200,5
1483021800,4
1483025400,3
1483029000,3
1483032600,4
1483036200,6
1483039800,3
1483043400,3
1483047000,3
1483050600,5
1483054200,7
1483057800,4
1483061400,6
1483065000,-1
1483068600,4
1483072200,5
1483075800,5
1483079400,5
1483083000,5
1483086600,4
1483090200,3
1483093800,1
1483097400,2
1483101000,3
1483104600,2
1483108200,4
1483111800,3
1483115400,2
1483119000,5
1483122600,3
1483126200,5
1483129800,4
1483133400,5
1483137000,7
1483140600,5
1483144200,4
1483147800,4
1483151400,5
1483155000,5
1483158600,8
1483162200,22
1483165800,24
1483169400,19
1483173000,16
1483176600,21
1483180200,22
1483183800,18
1483187400,21
1483191000,18
1483194600,15
1483198200,18
1483201800,12
1483205400,10
1483209000,7
1483212600,7
1483216200,26
1483219800,13
1483223400,13
1483227000,14
1483230600,11
1483234200,6
