EpochTime,3.feed_26.PM10B_UG_M3..3.feed_59665.PM10_640_UG_M3
1480509000,24.0
1480512600,8.0
1480516200,6.0
1480519800,9.0
1480523400,6.0
1480527000,5.0
1480530600,5.0
1480534200,5.0
1480537800,7.0
1480541400,4.0
1480545000,3.0
1480548600,2.0
1480552200,2.0
1480555800,2.0
1480559400,3.0
1480563000,2.0
1480566600,3.0
1480570200,6.0
1480573800,9.0
1480577400,8.0
1480581000,6.0
1480584600,6.0
1480588200,8.0
1480591800,7.0
1480595400,10.0
1480599000,5.0
1480602600,2.0
1480606200,4.0
1480609800,3.0
1480613400,2.0
1480617000,2.0
1480620600,1.0
1480624200,3.0
1480627800,2.0
1480631400,4.0
1480635000,6.0
1480638600,4.0
1480642200,3.0
1480645800,2.0
1480649400,1.0
1480653000,1.0
1480656600,3.0
1480660200,2.0
1480663800,1.0
1480667400,3.0
1480671000,5.0
1480674600,4.0
1480678200,4.0
1480681800,13.0
1480685400,11.0
1480689000,9.0
1480692600,8.0
1480696200,7.0
1480699800,4.0
1480703400,6.0
1480707000,6.0
1480710600,7.0
1480714200,5.0
1480717800,11.0
1480721400,6.0
1480725000,4.0
1480728600,9.0
1480732200,6.0
1480735800,3.0
1480739400,5.0
1480743000,4.0
1480746600,3.0
1480750200,7.0
1480753800,9.0
1480757400,7.0
1480761000,4.0
1480764600,9.0
1480768200,12.0
1480771800,7.0
1480775400,8.0
1480779000,7.0
1480782600,7.0
1480786200,6.0
1480789800,5.0
1480793400,5.0
1480797000,7.0
1480800600,9.0
1480804200,10.0
1480807800,10.0
1480811400,6.0
1480815000,5.0
1480818600,6.0
1480822200,8.0
1480825800,8.0
1480829400,8.0
1480833000,8.0
1480836600,8.0
1480840200,10.0
1480843800,7.0
1480847400,9.0
1480851000,8.0
1480854600,8.0
1480858200,12.0
1480861800,12.0
1480865400,15.0
1480869000,16.0
1480872600,13.0
1480876200,7.0
1480879800,10.0
1480883400,7.0
1480887000,6.0
1480890600,5.0
1480894200,10.0
1480897800,11.0
1480901400,7.0
1480905000,4.0
1480908600,5.0
1480912200,5.0
1480915800,9.0
1480919400,6.0
1480923000,1.0
1480926600,0.0
1480930200,0.0
1480933800,-1.0
1480937400,-2.0
1480941000,0.0
1480944600,4.0
1480948200,10.0
1480951800,13.0
1480955400,14.0
1480959000,8.0
1480962600,7.0
1480966200,5.0
1480969800,4.0
1480973400,5.0
1480977000,10.0
1480980600,13.0
1480984200,13.0
1480987800,20.0
1480991400,21.0
1480995000,16.0
1480998600,18.0
1481002200,19.0
1481005800,14.0
1481009400,15.0
1481013000,9.0
1481016600,11.0
1481020200,10.0
1481023800,6.0
1481027400,7.0
1481031000,20.0
1481034600,14.0
1481038200,4.0
1481041800,11.0
1481045400,5.0
1481049000,1.0
1481052600,4.0
1481056200,2.0
1481059800,1.0
1481063400,1.0
1481067000,1.0
1481070600,0.0
1481074200,6.0
1481077800,3.0
1481081400,2.0
1481085000,4.0
1481099400,13.0
1481103000,16.0
1481106600,18.0
1481110200,23.0
1481113800,23.0
1481117400,24.0
1481121000,21.0
1481124600,17.0
1481128200,15.0
1481131800,20.0
1481135400,18.0
1481149800,9.0
1481153400,11.0
1481157000,9.0
1481160600,9.0
